Age (years),Probability of dying between ages x and x + 1,Number surviving to age x,Number dying between ages x and x + 1,Person-years lived between ages x and x + 1,Total number of person-years lived above age x,Expectation of life at age x
48-49,0.002416,"95,930",232,"95,814","3,456,205",36.0
49-50,0.002645,"95,698",253,"95,572","3,360,391",35.1
50-51,0.002896,"95,445",276,"95,307","3,264,819",34.2
51-52,0.003169,"95,169",302,"95,018","3,169,512",33.3
52-53,0.003470,"94,867",329,"94,703","3,074,494",32.4
53-54,0.003797,"94,538",359,"94,359","2,979,792",31.5
54-55,0.004149,"94,179",391,"93,984","2,885,433",30.6
55-56,0.004523,"93,788",424,"93,576","2,791,449",29.8
56-57,0.004919,"93,364",459,"93,135","2,697,873",28.9
57-58,0.005342,"92,905",496,"92,657","2,604,738",28.0
58-59,0.005797,"92,409",536,"92,141","2,512,082",27.2
59-60,0.006287,"91,873",578,"91,584","2,419,941",26.3
60-61,0.006830,"91,295",624,"90,984","2,328,357",25.5
61-62,0.007410,"90,672",672,"90,336","2,237,373",24.7
62-63,0.007992,"90,000",719,"89,640","2,147,037",23.9
63-64,0.008551,"89,281",763,"88,899","2,057,397",23.0
64-65,0.009107,"88,517",806,"88,114","1,968,498",22.2
65-66,0.009692,"87,711",850,"87,286","1,880,384",21.4
66-67,0.010357,"86,861",900,"86,411","1,793,098",20.6
67-68,0.011129,"85,961",957,"85,483","1,706,687",19.9
68-69,0.012039,"85,005","1,023","84,493","1,621,204",19.1
69-70,0.013082,"83,981","1,099","83,432","1,536,710",18.3
70-71,0.014252,"82,883","1,181","82,292","1,453,278",17.5
71-72,0.015526,"81,702","1,268","81,067","1,370,986",16.8
72-73,0.016900,"80,433","1,359","79,753","1,289,919",16.0
73-74,0.018379,"79,074","1,453","78,347","1,210,165",15.3
74-75,0.020013,"77,620","1,553","76,844","1,131,818",14.6
75-76,0.021830,"76,067","1,661","75,237","1,054,975",13.9
76-77,0.023999,"74,406","1,786","73,514","979,738",13.2
77-78,0.026630,"72,621","1,934","71,654","906,224",12.5
78-79,0.029579,"70,687","2,091","69,642","834,570",11.8
79-80,0.032915,"68,596","2,258","67,467","764,929",11.2
80-81,0.036527,"66,338","2,423","65,127","697,462",10.5
81-82,0.040881,"63,915","2,613","62,609","632,335",9.9
82-83,0.045601,"61,302","2,795","59,904","569,726",9.3
83-84,0.050862,"58,507","2,976","57,019","509,822",8.7
84-85,0.057667,"55,531","3,202","53,930","452,803",8.2
85-86,0.064427,"52,329","3,371","50,643","398,873",7.6
86-87,0.070772,"48,957","3,465","47,225","348,230",7.1
87-88,0.079939,"45,493","3,637","43,674","301,005",6.6
88-89,0.090092,"41,856","3,771","39,970","257,331",6.1
89-90,0.101287,"38,085","3,858","36,156","217,360",5.7
90-91,0.113566,"34,228","3,887","32,284","181,204",5.3
91-92,0.126958,"30,340","3,852","28,414","148,920",4.9
92-93,0.141477,"26,488","3,748","24,615","120,506",4.5
93-94,0.157112,"22,741","3,573","20,955","95,891",4.2
94-95,0.173829,"19,168","3,332","17,502","74,936",3.9
95-96,0.191566,"15,836","3,034","14,319","57,434",3.6
96-97,0.210235,"12,802","2,692","11,457","43,115",3.4
97-98,0.229718,"10,111","2,323","8,950","31,658",3.1
98-99,0.249870,"7,788","1,946","6,815","22,709",2.9
99-100,0.270524,"5,842","1,580","5,052","15,893",2.7
100-,1.000000,"4,262","4,262","10,841","10,841",2.5
