Age (years),Probability of dying between ages x and x + 1,Number surviving to age x,Number dying between ages x and x + 1,Person-years lived between ages x and x + 1,Total number of person-years lived above age x,Expectation of life at age x
59-60,0.008378,"88,834",744,"88,461","2,138,543",24.1
60-61,0.008955,"88,089",789,"87,695","2,050,082",23.3
61-62,0.009586,"87,301",837,"86,882","1,962,387",22.5
62-63,0.010270,"86,464",888,"86,020","1,875,505",21.7
63-64,0.010992,"85,576",941,"85,105","1,789,485",20.9
64-65,0.011745,"84,635",994,"84,138","1,704,380",20.1
65-66,0.012524,"83,641","1,048","83,117","1,620,242",19.4
66-67,0.013372,"82,593","1,104","82,041","1,537,125",18.6
67-68,0.014348,"81,489","1,169","80,904","1,455,083",17.9
68-69,0.015509,"80,320","1,246","79,697","1,374,179",17.1
69-70,0.016896,"79,074","1,336","78,406","1,294,482",16.4
70-71,0.018595,"77,738","1,446","77,015","1,216,076",15.6
71-72,0.020583,"76,292","1,570","75,507","1,139,061",14.9
72-73,0.022712,"74,722","1,697","73,874","1,063,554",14.2
73-74,0.024840,"73,025","1,814","72,118","989,680",13.6
74-75,0.027110,"71,211","1,931","70,246","917,562",12.9
75-76,0.029650,"69,281","2,054","68,253","847,316",12.2
76-77,0.032566,"67,226","2,189","66,132","779,063",11.6
77-78,0.035819,"65,037","2,330","63,872","712,931",11.0
78-79,0.039390,"62,708","2,470","61,473","649,059",10.4
79-80,0.043705,"60,238","2,633","58,921","587,586",9.8
80-81,0.048491,"57,605","2,793","56,208","528,665",9.2
81-82,0.053561,"54,811","2,936","53,344","472,457",8.6
82-83,0.059538,"51,876","3,089","50,331","419,113",8.1
83-84,0.066487,"48,787","3,244","47,165","368,782",7.6
84-85,0.074017,"45,543","3,371","43,858","321,617",7.1
85-86,0.082176,"42,172","3,466","40,440","277,759",6.6
86-87,0.092041,"38,707","3,563","36,926","237,319",6.1
87-88,0.102882,"35,144","3,616","33,336","200,393",5.7
88-89,0.114745,"31,529","3,618","29,720","167,057",5.3
89-90,0.127665,"27,911","3,563","26,129","137,337",4.9
90-91,0.141668,"24,348","3,449","22,623","111,208",4.6
91-92,0.156759,"20,898","3,276","19,260","88,585",4.2
92-93,0.172929,"17,622","3,047","16,099","69,325",3.9
93-94,0.190144,"14,575","2,771","13,189","53,226",3.7
94-95,0.208351,"11,804","2,459","10,574","40,037",3.4
95-96,0.227468,"9,344","2,126","8,282","29,463",3.2
96-97,0.247392,"7,219","1,786","6,326","21,181",2.9
97-98,0.267997,"5,433","1,456","4,705","14,855",2.7
98-99,0.289135,"3,977","1,150","3,402","10,151",2.6
99-100,0.310640,"2,827",878,"2,388","6,749",2.4
100-,1.000000,"1,949","1,949","4,361","4,361",2.2
