Age (years),Probability of dying between ages x and x + 1,Number surviving to age x,Number dying between ages x and x + 1,Person-years lived between ages x and x + 1,Total number of person-years lived above age x,Expectation of life at age x
62-63,0.010439,"86,503",903,"86,052","1,876,603",21.7
63-64,0.011109,"85,600",951,"85,125","1,790,551",20.9
64-65,0.011802,"84,649",999,"84,150","1,705,426",20.1
65-66,0.012544,"83,650","1,049","83,126","1,621,276",19.4
66-67,0.013439,"82,601","1,110","82,046","1,538,151",18.6
67-68,0.014438,"81,491","1,177","80,903","1,456,105",17.9
68-69,0.015607,"80,314","1,253","79,688","1,375,202",17.1
69-70,0.016962,"79,061","1,341","78,390","1,295,514",16.4
70-71,0.018433,"77,720","1,433","77,004","1,217,124",15.7
71-72,0.019910,"76,287","1,519","75,528","1,140,120",14.9
72-73,0.022070,"74,768","1,650","73,943","1,064,593",14.2
73-74,0.023989,"73,118","1,754","72,241","990,649",13.5
74-75,0.026462,"71,364","1,888","70,420","918,408",12.9
75-76,0.028995,"69,476","2,014","68,469","847,988",12.2
76-77,0.032211,"67,461","2,173","66,375","779,520",11.6
77-78,0.035719,"65,288","2,332","64,122","713,145",10.9
78-79,0.039273,"62,956","2,472","61,720","649,022",10.3
79-80,0.043424,"60,484","2,626","59,171","587,302",9.7
80-81,0.047976,"57,857","2,776","56,470","528,132",9.1
81-82,0.053476,"55,082","2,946","53,609","471,662",8.6
82-83,0.059503,"52,136","3,102","50,585","418,053",8.0
83-84,0.066192,"49,034","3,246","47,411","367,468",7.5
84-85,0.074804,"45,788","3,425","44,076","320,057",7.0
85-86,0.083314,"42,363","3,529","40,598","275,982",6.5
86-87,0.091262,"38,834","3,544","37,062","235,383",6.1
87-88,0.102679,"35,290","3,623","33,478","198,322",5.6
88-89,0.115238,"31,666","3,649","29,842","164,844",5.2
89-90,0.128982,"28,017","3,614","26,210","135,002",4.8
90-91,0.143938,"24,403","3,513","22,647","108,792",4.5
91-92,0.160112,"20,891","3,345","19,218","86,145",4.1
92-93,0.177485,"17,546","3,114","15,989","66,927",3.8
93-94,0.196015,"14,432","2,829","13,017","50,938",3.5
94-95,0.215626,"11,603","2,502","10,352","37,920",3.3
95-96,0.236214,"9,101","2,150","8,026","27,569",3.0
96-97,0.257646,"6,951","1,791","6,056","19,542",2.8
97-98,0.279758,"5,160","1,444","4,438","13,487",2.6
98-99,0.302365,"3,717","1,124","3,155","9,048",2.4
99-100,0.325263,"2,593",843,"2,171","5,893",2.3
100-,1.000000,"1,750","1,750","3,722","3,722",2.1
