Age (years),Probability of dying between ages x and x + 1,Number surviving to age x,Number dying between ages x and x + 1,Person-years lived between ages x and x + 1,Total number of person-years lived above age x,Expectation of life at age x
61-62,0.014819,"81,836","1,213","81,230","1,701,653",20.8
62-63,0.015965,"80,624","1,287","79,980","1,620,423",20.1
63-64,0.017034,"79,336","1,351","78,661","1,540,443",19.4
64-65,0.018033,"77,985","1,406","77,282","1,461,782",18.7
65-66,0.019063,"76,579","1,460","75,849","1,384,500",18.1
66-67,0.020175,"75,119","1,516","74,361","1,308,651",17.4
67-68,0.021317,"73,603","1,569","72,819","1,234,290",16.8
68-69,0.022551,"72,034","1,624","71,222","1,161,471",16.1
69-70,0.023965,"70,410","1,687","69,566","1,090,249",15.5
70-71,0.025721,"68,723","1,768","67,839","1,020,683",14.9
71-72,0.027664,"66,955","1,852","66,029","952,844",14.2
72-73,0.029795,"65,103","1,940","64,133","886,815",13.6
73-74,0.032182,"63,163","2,033","62,147","822,682",13.0
74-75,0.034561,"61,130","2,113","60,074","760,535",12.4
75-76,0.037125,"59,018","2,191","57,922","700,462",11.9
76-77,0.039903,"56,827","2,268","55,693","642,540",11.3
77-78,0.042787,"54,559","2,334","53,392","586,847",10.8
78-79,0.046355,"52,225","2,421","51,014","533,455",10.2
79-80,0.050817,"49,804","2,531","48,538","482,441",9.7
80-81,0.055546,"47,273","2,626","45,960","433,903",9.2
81-82,0.060705,"44,647","2,710","43,292","387,943",8.7
82-83,0.066252,"41,937","2,778","40,548","344,651",8.2
83-84,0.071858,"39,158","2,814","37,751","304,103",7.8
84-85,0.078116,"36,345","2,839","34,925","266,352",7.3
85-86,0.085458,"33,505","2,863","32,074","231,427",6.9
86-87,0.093380,"30,642","2,861","29,211","199,353",6.5
87-88,0.101907,"27,781","2,831","26,365","170,141",6.1
88-89,0.111063,"24,950","2,771","23,564","143,776",5.8
89-90,0.120864,"22,179","2,681","20,838","120,212",5.4
90-91,0.131327,"19,498","2,561","18,218","99,373",5.1
91-92,0.142459,"16,938","2,413","15,731","81,156",4.8
92-93,0.154262,"14,525","2,241","13,404","65,424",4.5
93-94,0.166732,"12,284","2,048","11,260","52,020",4.2
94-95,0.179857,"10,236","1,841","9,315","40,760",4.0
95-96,0.193614,"8,395","1,625","7,582","31,445",3.7
96-97,0.207975,"6,770","1,408","6,066","23,863",3.5
97-98,0.222898,"5,362","1,195","4,764","17,797",3.3
98-99,0.238336,"4,167",993,"3,670","13,033",3.1
99-100,0.254231,"3,173",807,"2,770","9,363",3.0
100-,1.000000,"2,367","2,367","6,593","6,593",2.8
