Age (years),Probability of dying between ages x and x + 1,Number surviving to age x,Number dying between ages x and x + 1,Person-years lived between ages x and x + 1,Total number of person-years lived above age x,Expectation of life at age x
89-90,0.125502,"28,285","3,550","26,510","141,354",5.0
90-91,0.139125,"24,735","3,441","23,014","114,844",4.6
91-92,0.153806,"21,294","3,275","19,656","91,829",4.3
92-93,0.169539,"18,019","3,055","16,491","72,173",4.0
93-94,0.186296,"14,964","2,788","13,570","55,682",3.7
94-95,0.204030,"12,176","2,484","10,934","42,112",3.5
95-96,0.222669,"9,692","2,158","8,613","31,178",3.2
96-97,0.242121,"7,534","1,824","6,622","22,565",3.0
97-98,0.262267,"5,710","1,497","4,961","15,944",2.8
98-99,0.282973,"4,212","1,192","3,616","10,983",2.6
99-100,0.304084,"3,020",918,"2,561","7,367",2.4
100-,1.000000,"2,102","2,102","4,806","4,806",2.3
