Age (years),Probability of dying between ages x and x + 1,Number surviving to age x,Number dying between ages x and x + 1,Person-years lived between ages x and x + 1,Total number of person-years lived above age x,Expectation of life at age x
63-64,0.008622,"89,641",773,"89,255","2,070,098",23.1
64-65,0.009139,"88,868",812,"88,462","1,980,843",22.3
65-66,0.009662,"88,056",851,"87,631","1,892,381",21.5
66-67,0.010258,"87,205",895,"86,758","1,804,751",20.7
67-68,0.010965,"86,311",946,"85,837","1,717,993",19.9
68-69,0.011849,"85,364","1,012","84,858","1,632,155",19.1
69-70,0.012931,"84,353","1,091","83,807","1,547,297",18.3
70-71,0.014191,"83,262","1,182","82,671","1,463,490",17.6
71-72,0.015602,"82,080","1,281","81,440","1,380,819",16.8
72-73,0.017171,"80,800","1,387","80,106","1,299,379",16.1
73-74,0.018842,"79,412","1,496","78,664","1,219,273",15.4
74-75,0.020598,"77,916","1,605","77,114","1,140,608",14.6
75-76,0.022437,"76,311","1,712","75,455","1,063,495",13.9
76-77,0.024494,"74,599","1,827","73,685","988,040",13.2
77-78,0.026957,"72,772","1,962","71,791","914,354",12.6
78-79,0.029923,"70,810","2,119","69,751","842,563",11.9
79-80,0.033446,"68,691","2,297","67,543","772,813",11.3
80-81,0.037315,"66,394","2,477","65,155","705,270",10.6
81-82,0.041498,"63,916","2,652","62,590","640,115",10.0
82-83,0.045981,"61,264","2,817","59,855","577,525",9.4
83-84,0.051367,"58,447","3,002","56,946","517,670",8.9
84-85,0.057260,"55,445","3,175","53,857","460,724",8.3
85-86,0.063158,"52,270","3,301","50,619","406,867",7.8
86-87,0.070890,"48,969","3,471","47,233","356,247",7.3
87-88,0.079429,"45,497","3,614","43,690","309,014",6.8
88-89,0.088824,"41,884","3,720","40,023","265,324",6.3
89-90,0.099119,"38,163","3,783","36,272","225,300",5.9
90-91,0.110350,"34,381","3,794","32,484","189,029",5.5
91-92,0.122543,"30,587","3,748","28,713","156,545",5.1
92-93,0.135711,"26,838","3,642","25,017","127,832",4.8
93-94,0.149850,"23,196","3,476","21,458","102,815",4.4
94-95,0.164941,"19,720","3,253","18,094","81,357",4.1
95-96,0.180941,"16,468","2,980","14,978","63,263",3.8
96-97,0.197790,"13,488","2,668","12,154","48,285",3.6
97-98,0.215404,"10,820","2,331","9,655","36,131",3.3
98-99,0.233678,"8,489","1,984","7,498","26,476",3.1
99-100,0.252488,"6,506","1,643","5,684","18,979",2.9
100-,1.000000,"4,863","4,863","13,295","13,295",2.7
