Age (years),Probability of dying between ages x and x + 1,Number surviving to age x,Number dying between ages x and x + 1,Person-years lived between ages x and x + 1,Total number of person-years lived above age x,Expectation of life at age x
84-85,0.075707,"45,317","3,431","43,602","315,504",7.0
85-86,0.083444,"41,886","3,495","40,139","271,903",6.5
86-87,0.093604,"38,391","3,594","36,594","231,764",6.0
87-88,0.104779,"34,798","3,646","32,975","195,169",5.6
88-89,0.117015,"31,152","3,645","29,329","162,195",5.2
89-90,0.130349,"27,506","3,585","25,714","132,866",4.8
90-91,0.144802,"23,921","3,464","22,189","107,152",4.5
91-92,0.160378,"20,457","3,281","18,817","84,963",4.2
92-93,0.177061,"17,176","3,041","15,656","66,146",3.9
93-94,0.194812,"14,135","2,754","12,758","50,491",3.6
94-95,0.213566,"11,381","2,431","10,166","37,733",3.3
95-96,0.233233,"8,951","2,088","7,907","27,567",3.1
96-97,0.253697,"6,863","1,741","5,993","19,660",2.9
97-98,0.274819,"5,122","1,408","4,418","13,667",2.7
98-99,0.296436,"3,714","1,101","3,164","9,249",2.5
99-100,0.318373,"2,613",832,"2,197","6,085",2.3
100-,1.000000,"1,781","1,781","3,888","3,888",2.2
